indication_class,molecule_chembl_id,molecule_type,pref_name
,CHEMBL1336,Small molecule,SORAFENIB
Anthelmintic (veterinary),CHEMBL167150,Small molecule,TRICHLORFON
Impotence Therapy,CHEMBL192,Small molecule,SILDENAFIL
Ammonia Detoxicant; Diagnostic Aid (pituitary function determination),CHEMBL1485,Small molecule,ARGININE
,CHEMBL398435,Small molecule,TICAGRELOR
,CHEMBL1486,Small molecule,TENOFOVIR DISOPROXIL FUMARATE
Inhibitor (HMG-CoA reductase),CHEMBL1487,Small molecule,ATORVASTATIN
Antineoplastic,CHEMBL1488,Small molecule,URACIL MUSTARD
Antineoplastic,CHEMBL1489,Small molecule,AZACITIDINE
,CHEMBL251940,Small molecule,PERICIAZINE
Anticholinergic; Antiparkinsonian,CHEMBL1490,Small molecule,TRIHEXYPHENIDYL
Anticholinergic,CHEMBL253371,Small molecule,ALVERINE
Antihypertensive; Anti-Anginal,CHEMBL1491,Small molecule,AMLODIPINE
,CHEMBL400599,Small molecule,BENFLUOREX
Expectorant; Mucolytic,CHEMBL253376,Small molecule,BROMHEXINE
,CHEMBL254857,Small molecule,FIPEXIDE
,CHEMBL1492,Small molecule,DIPHENYLPYRALINE
Relaxant (smooth muscle),CHEMBL1493,Small molecule,FLAVOXATE
Analgesic,CHEMBL255044,Small molecule,FLUPIRTINE
,CHEMBL250270,Small molecule,LERCANIDIPINE
,CHEMBL1495,Small molecule,OXYPHENCYCLIMINE
,CHEMBL404849,Small molecule,SULOCTIDIL
,CHEMBL252556,Small molecule,IDEBENONE
,CHEMBL1496,Small molecule,ROSUVASTATIN
Glucocorticoid,CHEMBL1497,Small molecule,BETAMETHASONE VALERATE
,CHEMBL404422,Small molecule,BUTETHAL
Antibacterial,CHEMBL398440,Small molecule,CHLOROXYLENOL
Cardiotonic,CHEMBL254219,Small molecule,DIGITOXIN
Glucocorticoid,CHEMBL1501,Small molecule,FLUOCINONIDE
Analgesic (narcotic),CHEMBL398707,Small molecule,HYDROMORPHONE
Vasodilator (coronary),CHEMBL193,Small molecule,NIFEDIPINE
Anti-Ulcerative,CHEMBL1502,Small molecule,PANTOPRAZOLE
"Antisecretory (gastric),Depressant (gastric acid secretory)",CHEMBL1503,Small molecule,OMEPRAZOLE
Pharmaceutic Aid (flavor); Pharmaceutic Aid (tablet excipient),CHEMBL253582,Small molecule,SUCROSE
Glucocorticoid,CHEMBL1504,Small molecule,TRIAMCINOLONE ACETONIDE
,CHEMBL252518,Small molecule,ARTENIMOL
Antimigraine,CHEMBL1505,Small molecule,ALMOTRIPTAN
Antirickettsial; Antibacterial,CHEMBL1506,Small molecule,CHLORAMPHENICOL PALMITATE
,CHEMBL1508,Small molecule,ESCITALOPRAM
Aldosterone Antagonist,CHEMBL1509,Small molecule,DROSPIRENONE
,CHEMBL1510,Small molecule,ELETRIPTAN
Estrogen,CHEMBL1511,Small molecule,ESTRADIOL VALERATE
Glucocorticoid,CHEMBL1512,Small molecule,FLUNISOLIDE
Glucocorticoid,CHEMBL251634,Small molecule,FLUOCORTOLONE
Antihypertensive (angiotensin II receptor antagonist),CHEMBL1513,Small molecule,IRBESARTAN
Analgesic (narcotic),CHEMBL1514,Small molecule,LEVOMETHADYL ACETATE
Antibacterial,CHEMBL249837,Small molecule,METHACYCLINE
Thyroid Inhibitor,CHEMBL1515,Small molecule,METHIMAZOLE
"Antibacterial,Antirickettsial; Antibacterial",CHEMBL1517,Small molecule,OXYTETRACYCLINE
Thyroid Inhibitor,CHEMBL1518,Small molecule,PROPYLTHIOURACIL
Cardiotonic,CHEMBL600325,Small molecule,PROSCILLARIDIN
,CHEMBL1519,Small molecule,TRANDOLAPRIL
,CHEMBL1520,Small molecule,VARDENAFIL
Sedative-Hypnotic,CHEMBL1521,Small molecule,ZALEPLON
,CHEMBL1522,Small molecule,ESZOPICLONE
Appetite Suppressant (systemic),CHEMBL248702,Small molecule,DEXFENFLURAMINE
Cardiotonic,CHEMBL249856,Small molecule,ENOXIMONE
Ectoparasiticide,CHEMBL1525,Small molecule,PERMETHRIN
,CHEMBL254328,Small molecule,ABIRATERONE
,CHEMBL254316,Small molecule,RALTEGRAVIR
,CHEMBL254468,Small molecule,FLUCICLOVINE F18
,CHEMBL404108,Small molecule,LUMIRACOXIB
Antipruritic (topical),CHEMBL256087,Small molecule,MENTHOL
"Dental Caries Prophylactic,Radioactive Agent",CHEMBL1528,Small molecule,SODIUM FLUORIDE
Anti-Emetic,CHEMBL1529,Small molecule,DIPHENIDOL HYDROCHLORIDE
,CHEMBL256997,Small molecule,ATALUREN
,CHEMBL255863,Small molecule,NILOTINIB
,CHEMBL403664,Small molecule,BLEOMYCIN
,CHEMBL259209,Small molecule,MILNACIPRAN
,CHEMBL259571,Small molecule,TAPINAROF
Progestin,CHEMBL1531,Small molecule,ETONOGESTREL
,CHEMBL1532,Small molecule,QUINETHAZONE
Progestin,CHEMBL1533,Small molecule,DESOGESTREL
Vitamin (enzyme co-factor),CHEMBL1534,Small molecule,RIBOFLAVIN
Androgen,CHEMBL258918,Small molecule,MESTEROLONE
Antimalarial; Suppressant (lupus erythematosus),CHEMBL1535,Small molecule,HYDROXYCHLOROQUINE
Vitamin (antirachitic),CHEMBL1536,Small molecule,ERGOCALCIFEROL
Antibacterial,CHEMBL261772,Small molecule,MECLOCYCLINE SULFOSALICYLATE
Antibacterial,CHEMBL1537,Small molecule,AZLOCILLIN
,CHEMBL1538,Small molecule,TENOFOVIR DISOPROXIL
Antibacterial,CHEMBL1539,Small molecule,SULFADOXINE
Antiviral,CHEMBL1540,Small molecule,PENCICLOVIR
Antibacterial,CHEMBL1541,Small molecule,CEFIXIME
Immunosuppressant,CHEMBL1542,Small molecule,AZATHIOPRINE
,CHEMBL260538,Small molecule,ULIPRISTAL ACETATE
"Radioactive Agent,Thyroid Hormone",CHEMBL1544,Small molecule,LIOTHYRONINE
,CHEMBL409153,Small molecule,ISAVUCONAZOLE
,CHEMBL408513,Small molecule,BELINOSTAT
,CHEMBL270190,Small molecule,ALVIMOPAN
Adrenergic (ophthalmic),CHEMBL1546,Small molecule,HYDROXYAMPHETAMINE
Vitamin (enzyme co-factor),CHEMBL1547,Small molecule,THIAMINE
,CHEMBL271227,Small molecule,ABIRATERONE ACETATE
"Antibacterial; Antiprotozoal,Antiprotozoal; Antibacterial",CHEMBL404520,Small molecule,CHLORTETRACYCLINE
,CHEMBL1549,Small molecule,HYDROCORTISONE CYPIONATE
Vitamin (prothrombogenic),CHEMBL1550,Small molecule,PHYTONADIONE
,CHEMBL429910,Small molecule,DAPAGLIFLOZIN
Anticholelithogenic,CHEMBL1551,Small molecule,URSODIOL
,CHEMBL406393,Small molecule,DEOXYCHOLIC ACID
,CHEMBL272427,Small molecule,TAURURSODIOL
,CHEMBL1555,Small molecule,GALANTAMINE HYDROBROMIDE
Acidifier (urlnary); Vitamin (antiscorbutic),CHEMBL196,Small molecule,ASCORBIC ACID
Adrenergic,CHEMBL1557,Small molecule,DOPAMINE HYDROCHLORIDE
Antihypertensive,CHEMBL1558,Small molecule,PRAZOSIN HYDROCHLORIDE
Antifungal,CHEMBL1559,Small molecule,MICONAZOLE NITRATE
,CHEMBL450895,Small molecule,NYSTATIN
Enzyme Inhibitor (angiotensin-converting); Antihypertensive,CHEMBL1560,Small molecule,CAPTOPRIL
Antipruritic,CHEMBL504760,Small molecule,CAMPHOR
"Anticholinergic,Anticholinergic (ophthalmic)",CHEMBL517712,Small molecule,ATROPINE
Inhibitor (alpha-glucosidase),CHEMBL1561,Small molecule,MIGLITOL
Pharmaceutic Aid (preservative),CHEMBL502109,Small molecule,BENZALKONIUM CHLORIDE
,CHEMBL508338,Small molecule,THIMEROSAL
Antineoplastic,CHEMBL1563,Small molecule,DAUNORUBICIN HYDROCHLORIDE
Analgesic,CHEMBL511142,Small molecule,BUPRENORPHINE
,CHEMBL1564,Small molecule,DIPHENYLPYRALINE HYDROCHLORIDE
Anesthetic (topical),CHEMBL529437,Small molecule,COCAINE HYDROCHLORIDE
,CHEMBL471737,Small molecule,IVABRADINE
,CHEMBL1567,Small molecule,SUNITINIB MALATE
Antibacterial,CHEMBL506110,Small molecule,SULTAMICILLIN
,CHEMBL501849,Small molecule,SIMEPREVIR
,CHEMBL455186,Small molecule,TREOSULFAN
Glucocorticoid,CHEMBL461332,Small molecule,FLUCLORONIDE
,CHEMBL462547,Small molecule,URETHANE
Antiviral,CHEMBL1569,Small molecule,AMANTADINE HYDROCHLORIDE
Antihypertensive; Diuretic,CHEMBL517199,Small molecule,XIPAMIDE
Antidiabetic,CHEMBL529888,Small molecule,GLIBORNURIDE
,CHEMBL1570,Small molecule,SULFOXONE
Antineoplastic,CHEMBL452231,Small molecule,TENIPOSIDE
Antineoplastic,CHEMBL1571,Small molecule,TESTOLACTONE
,CHEMBL460287,Small molecule,ETOGLUCID
,CHEMBL501613,Small molecule,MEPARFYNOL
Analgesic; Antipyretic,CHEMBL461522,Small molecule,DIPYRONE
,CHEMBL462394,Small molecule,METRIZAMIDE
Anticholinergic,CHEMBL516476,Small molecule,METHYLATROPINE NITRATE
Antibacterial,CHEMBL1572,Small molecule,NETILMICIN
"Anorexic,Appetite Suppressant (systemic)",CHEMBL1574,Small molecule,PHENTERMINE
,CHEMBL1576,Small molecule,ETHINAMATE
Antihypertensive,CHEMBL460291,Small molecule,LACIDIPINE
Diuretic; Antihypertensive,CHEMBL1577,Small molecule,METHYCLOTHIAZIDE
,CHEMBL447629,Small molecule,MITOBRONITOL
Antihypertensive,CHEMBL475534,Small molecule,NITRENDIPINE
Anticholinergic,CHEMBL1578,Small molecule,ANISOTROPINE METHYLBROMIDE
Potentiator,CHEMBL1580,Small molecule,PENTOSTATIN
"Antihypertensive,Enzyme Inhibitor (angiotensin-converting)",CHEMBL1581,Small molecule,PERINDOPRIL
Antipsoriatic,CHEMBL515914,Small molecule,AZARIBINE
Sedative-Hypnotic,CHEMBL455917,Small molecule,CHLORAL HYDRATE
Antihypertensive,CHEMBL515606,Small molecule,CILAZAPRIL
Antibacterial,CHEMBL1583,Small molecule,BACAMPICILLIN
Antipsychotic,CHEMBL1584,Small molecule,PIPERACETAZINE
Antineoplastic,CHEMBL1585,Small molecule,PIPOBROMAN
Antihypertensive; Diuretic,CHEMBL1587,Small molecule,POLYTHIAZIDE
,CHEMBL487253,Small molecule,BENDAMUSTINE
,CHEMBL1588,Small molecule,THIAMINE
Antidiabetic,CHEMBL1589,Small molecule,ACETOHEXAMIDE
"Adrenergic (vasoconstrictor),Decongestant,Nasal Decongestant",CHEMBL1590,Small molecule,PSEUDOEPHEDRINE
Antibacterial,CHEMBL1591,Small molecule,DEMECLOCYCLINE
Enzyme Inhibitor (angiotensin-converting); Antihypertensive,CHEMBL1592,Small molecule,QUINAPRIL
,CHEMBL444186,Small molecule,RAZOXANE
Vitamin (enzyme co-factor),CHEMBL1594,Small molecule,PANTOTHENIC ACID
Glucocorticoid,CHEMBL499915,Small molecule,CARBENOXOLONE
Glucocorticoid,CHEMBL509924,Small molecule,DIFLUCORTOLONE
Analgesic,CHEMBL1595,Small molecule,DIHYDROCODEINE
,CHEMBL462605,Small molecule,PITOLISANT
Antibacterial,CHEMBL1596,Small molecule,CARBENICILLIN INDANYL
Antidote (to arsenic and gold and mercury poisoning),CHEMBL1597,Small molecule,DIMERCAPROL
Antibacterial,CHEMBL1599,Small molecule,CEPHAPIRIN
Antibacterial,CHEMBL1601,Small molecule,CEFONICID
Antibacterial,CHEMBL1604,Small molecule,CEPHRADINE
Antibacterial,CHEMBL1605,Small molecule,CEFTIBUTEN
Anti-Amebic; Antirickettsial; Antibacterial,CHEMBL454950,Small molecule,TETRACYCLINE HYDROCHLORIDE
Antineoplastic (DNA topoisomerase I Inhibitor),CHEMBL1607,Small molecule,TOPOTECAN HYDROCHLORIDE
,CHEMBL461101,Small molecule,ELTROMBOPAG
Analgesic,CHEMBL465026,Small molecule,NEFOPAM
Antibacterial,CHEMBL474579,Small molecule,CEFOTETAN
,CHEMBL514800,Small molecule,APREMILAST
,CHEMBL1609,Small molecule,MANDELIC ACID
Anticonvulsant,CHEMBL1611,Small molecule,PHENYTOIN SODIUM
,CHEMBL473159,Small molecule,PHLOROGLUCINOL
,CHEMBL512351,Small molecule,BETRIXABAN
,CHEMBL473417,Small molecule,VISMODEGIB
Pharmaceutic Aid (alkalizing agent); Analgesic,CHEMBL446061,Small molecule,TROLAMINE
,CHEMBL491571,Small molecule,DORIPENEM
Antineoplastic,CHEMBL359744,Small molecule,DOXORUBICIN HYDROCHLORIDE
Analgesic,CHEMBL447868,Small molecule,SODIUM SALICYLATE
,CHEMBL506569,Small molecule,LANATOSIDE C
Cardiotonic,CHEMBL1614,Small molecule,DESLANOSIDE
Emetic,CHEMBL1616,Small molecule,APOMORPHINE HYDROCHLORIDE
,CHEMBL457299,Small molecule,MACROGOL
Antibacterial,CHEMBL1617,Small molecule,RIFAXIMIN
Antibacterial,CHEMBL1618,Small molecule,CEFAMANDOLE NAFATE
Antineoplastic,CHEMBL1619,Small molecule,CLADRIBINE
Antihistaminic,CHEMBL1620,Small molecule,DIPHENHYDRAMINE HYDROCHLORIDE
,CHEMBL1621,Small molecule,PALIPERIDONE
Vitamin (hematopoietic),CHEMBL1622,Small molecule,FOLIC ACID
Anticholinergic,CHEMBL524004,Small molecule,MEPENZOLATE
Anti-Emetic,CHEMBL1623,Small molecule,MECLIZINE
Thyroid Hormone,CHEMBL1624,Small molecule,LEVOTHYROXINE
Ultraviolet Screen,CHEMBL1625,Small molecule,OXYBENZONE
Antihistaminic,CHEMBL1626,Small molecule,CLEMASTINE
,CHEMBL521686,Small molecule,OLAPARIB
,CHEMBL493287,Small molecule,GLUCOSAMINE
,CHEMBL518520,Small molecule,RALTEGRAVIR POTASSIUM
Anthelmintic,CHEMBL443605,Small molecule,HEXYLRESORCINOL
,CHEMBL459324,Small molecule,DIACETYLMORPHINE
,CHEMBL522038,Small molecule,XIMELAGATRAN
Antibacterial,CHEMBL1632,Small molecule,CEPHALOTHIN SODIUM
Anti-Asthmatic,CHEMBL1633,Small molecule,KETOTIFEN FUMARATE
Vasodilator,CHEMBL466659,Small molecule,PENTAERYTHRITOL TETRANITRATE
Antineoplastic,CHEMBL1637,Small molecule,GEMCITABINE HYDROCHLORIDE
,CHEMBL1639,Small molecule,ALISKIREN
,CHEMBL1640,Small molecule,TRYPAN BLUE
Glucocorticoid,CHEMBL1641,Small molecule,HYDROCORTISONE PHOSPHORIC ACID
,CHEMBL485253,Small molecule,METHYSERGIDE
,CHEMBL1642,Small molecule,IMATINIB MESYLATE
Antiviral,CHEMBL1643,Small molecule,RIBAVIRIN
Antibacterial,CHEMBL1644,Small molecule,CEFADROXIL
Estrogen,CHEMBL494753,Small molecule,ESTRONE SULFURIC ACID
Diagnostic Aid (hepatic function determination); Diagnostic Aid (cardiac output determination),CHEMBL1646,Small molecule,INDOCYANINE GREEN
Antagonist (calcium channel),CHEMBL1648,Small molecule,ISRADIPINE
,CHEMBL493982,Small molecule,VORAPAXAR
Glucocorticoid,CHEMBL1650,Small molecule,CORTISONE ACETATE
,CHEMBL477772,Small molecule,PAZOPANIB
,CHEMBL1652,Small molecule,AMBENONIUM
Antineoplastic,CHEMBL501867,Small molecule,VINCRISTINE SULFATE
,CHEMBL1653,Small molecule,PHENIRAMINE MALEATE
,CHEMBL450449,Small molecule,TRABECTEDIN
Regulator (calcium),CHEMBL1654,Small molecule,RISEDRONATE SODIUM
Anti-Estrogen; Antineoplastic,CHEMBL1655,Small molecule,TOREMIFENE
Keratolytic,CHEMBL1657,Small molecule,TAZAROTENE
,CHEMBL1658,Small molecule,RETAPAMULIN
Antihistaminic,CHEMBL1659,Small molecule,CHLORPHENIRAMINE MALEATE
,CHEMBL453514,Small molecule,SPIRAMYCIN
,CHEMBL507870,Small molecule,TELAVANCIN
,CHEMBL499808,Small molecule,CASPOFUNGIN
,CHEMBL501122,Small molecule,CEFTAROLINE FOSAMIL
Antibacterial,CHEMBL1660,Small molecule,RIFAPENTINE
,CHEMBL1661,Small molecule,LACTITOL
,CHEMBL498847,Small molecule,SECNIDAZOLE
,CHEMBL1663,Small molecule,PERFLUTREN
,CHEMBL523299,Small molecule,UMECLIDINIUM BROMIDE
,CHEMBL483254,Small molecule,PANOBINOSTAT
Antimycotic,CHEMBL489411,Small molecule,AMOROLFINE
,CHEMBL1664,Small molecule,FOSAMPRENAVIR
"Anti-Infective, Topical",CHEMBL486696,Small molecule,DOMIPHEN BROMIDE
,CHEMBL457547,Small molecule,MICAFUNGIN
,CHEMBL1668,Small molecule,RESCINNAMINE
,CHEMBL464982,Small molecule,GAMOLENIC ACID
"Anti-Infective, Topical",CHEMBL459265,Small molecule,HEXAMETHYL PARAROSANILINE
Antineoplastic,CHEMBL1670,Small molecule,MITOTANE
Cardiac Depressant (anti-arrhythmic); Anti-Adrenergic (beta-receptor),CHEMBL1671,Small molecule,PROPRANOLOL HYDROCHLORIDE
,CHEMBL1672,Small molecule,CEFPODOXIME
,CHEMBL454446,Small molecule,CEFDITOREN PIVOXIL
,CHEMBL1675,Small molecule,VITAMIN A PALMITATE
,CHEMBL1676,Small molecule,FLUTICASONE FUROATE
Cognition Adjuvant; Dementia Symptoms Treatment Adjunct,CHEMBL1677,Small molecule,TACRINE HYDROCHLORIDE
Dementia Symptoms Treatment Adjunct; Inhibitor (acetylcholinesterase); Cognition Adjuvant; Alzheimer's Disease Treatment (adjunct),CHEMBL1678,Small molecule,DONEPEZIL HYDROCHLORIDE
Antibacterial,CHEMBL507674,Small molecule,CEFOPERAZONE
Antidote (to folic acid antagonists); Anti-Anemic (folate deficiency),CHEMBL1679,Small molecule,LEUCOVORIN
Diagnostic Aid (intestinal function determination),CHEMBL502135,Small molecule,XYLOSE
"Diagnostic Aid (renal function determination); Radioactive Agent,Radioactive Agent,Radioactive Agent; Diagnostic Aid (renal function determination)",CHEMBL1681,Small molecule,IODOHIPPURATE
Pharmaceutic Aid (flavor); Pharmaceutic Aid (tablet excipient),CHEMBL1682,Small molecule,SORBITOL
Glucocorticoid,CHEMBL1683,Small molecule,HYDROCORTISONE BUTYRATE
Choleretic,CHEMBL514446,Small molecule,DEHYDROCHOLIC ACID
,CHEMBL502182,Small molecule,ELAGOLIX SODIUM
Antihypertensive; Diuretic,CHEMBL1684,Small molecule,BENDROFLUMETHIAZIDE
Acidifier,CHEMBL503160,Small molecule,FUMARIC ACID
,CHEMBL508102,Small molecule,CARBIMAZOLE
Analgesic,CHEMBL1685,Small molecule,DEZOCINE
,CHEMBL515408,Small molecule,MARIBAVIR
,CHEMBL484785,Small molecule,CRISABOROLE
,CHEMBL502835,Small molecule,NINTEDANIB
Vasodilator (peripheral),CHEMBL1689,Small molecule,TOLAZOLINE HYDROCHLORIDE
Antimalarial; Suppressant (lupus erythematosus),CHEMBL1690,Small molecule,HYDROXYCHLOROQUINE SULFATE
,CHEMBL588046,Small molecule,QUININE HYDROCHLORIDE
Antimalarial,CHEMBL535650,Small molecule,MEFLOQUINE HYDROCHLORIDE
Antihypertensive; Anti-Anginal,CHEMBL1691,Small molecule,BETAXOLOL HYDROCHLORIDE
Antihypertensive,CHEMBL542541,Small molecule,HYDRALAZINE HYDROCHLORIDE
,CHEMBL544665,Small molecule,FINGOLIMOD HYDROCHLORIDE
Antihistaminic; Serotonin Inhibitor,CHEMBL544428,Small molecule,MIANSERIN HYDROCHLORIDE
Antidepressant,CHEMBL1692,Small molecule,IMIPRAMINE HYDROCHLORIDE
Anorexic,CHEMBL1693,Small molecule,DIETHYLPROPION HYDROCHLORIDE
Enzyme Inhibitor (angiotensin-converting),CHEMBL1694,Small molecule,BENAZEPRIL HYDROCHLORIDE
Anticonvulsant,CHEMBL1695,Small molecule,TIAGABINE HYDROCHLORIDE
Antidepressant,CHEMBL1696,Small molecule,DESIPRAMINE HYDROCHLORIDE
Vasodilator (coronary),CHEMBL1697,Small molecule,DILTIAZEM HYDROCHLORIDE
Antidepressant,CHEMBL1698,Small molecule,BUPROPION HYDROCHLORIDE
,CHEMBL1699,Small molecule,MEMANTINE HYDROCHLORIDE
Anti-Adrenergic (beta-receptor),CHEMBL1700,Small molecule,SOTALOL HYDROCHLORIDE
Vasodilator,CHEMBL552659,Small molecule,FLUNARIZINE HYDROCHLORIDE
Analgesic (narcotic),CHEMBL1701,Small molecule,MEPERIDINE HYDROCHLORIDE
,CHEMBL1702,Small molecule,ATOMOXETINE HYDROCHLORIDE
Antidiabetic,CHEMBL1703,Small molecule,METFORMIN HYDROCHLORIDE
Antihypertensive,CHEMBL1705,Small molecule,CLONIDINE HYDROCHLORIDE
Adrenergic (vasoconstrictor),CHEMBL1706,Small molecule,NAPHAZOLINE HYDROCHLORIDE
Antiperistaltic,CHEMBL1707,Small molecule,LOPERAMIDE HYDROCHLORIDE
Vasodilator,CHEMBL559180,Small molecule,ISOXSUPRINE HYDROCHLORIDE
,CHEMBL1708,Small molecule,PAROXETINE HYDROCHLORIDE
Antidepressant,CHEMBL1709,Small molecule,SERTRALINE HYDROCHLORIDE
Antiviral,CHEMBL535396,Small molecule,RIMANTADINE HYDROCHLORIDE
,CHEMBL537669,Small molecule,YOHIMBINE HYDROCHLORIDE
Bronchodilator,CHEMBL1711,Small molecule,ISOPROTERENOL HYDROCHLORIDE
Antipsychotic; Anti-Emetic,CHEMBL1713,Small molecule,CHLORPROMAZINE HYDROCHLORIDE
,CHEMBL556578,Small molecule,MORPHINE HYDROCHLORIDE
Anesthetic,CHEMBL1714,Small molecule,KETAMINE HYDROCHLORIDE
Antidiabetic,CHEMBL1715,Small molecule,PIOGLITAZONE HYDROCHLORIDE
Antihistaminic; Antipruritic,CHEMBL1716,Small molecule,CYPROHEPTADINE HYDROCHLORIDE
Inhibitor (platelet),CHEMBL1717,Small molecule,TICLOPIDINE HYDROCHLORIDE
Antagonist (to narcotics),CHEMBL1718,Small molecule,NALOXONE HYDROCHLORIDE
Vasodilator (coronary),CHEMBL539770,Small molecule,TERODILINE HYDROCHLORIDE
Anti-Allergic,CHEMBL1719,Small molecule,OLOPATADINE HYDROCHLORIDE
Antinauseant; Anti-Emetic,CHEMBL1720,Small molecule,PALONOSETRON HYDROCHLORIDE
Stimulant (central),CHEMBL1722,Small molecule,METHYLPHENIDATE HYDROCHLORIDE
Antihypertensive (alpha-blocker),CHEMBL1723,Small molecule,ALFUZOSIN HYDROCHLORIDE
Anticholinergic,CHEMBL1724,Small molecule,MEPENZOLATE BROMIDE
Diagnostic Aid (radiopaque medium),CHEMBL1725,Small molecule,IOPROMIDE
Vasodilator (coronary),CHEMBL1726,Small molecule,NISOLDIPINE
Antibacterial,CHEMBL1727,Small molecule,CEPHALEXIN
Antibacterial,CHEMBL1728,Small molecule,LOMEFLOXACIN HYDROCHLORIDE
Stimulant (peristaltic),CHEMBL1729,Small molecule,CISAPRIDE
Antibacterial,CHEMBL1730,Small molecule,CEFOTAXIME
Antibacterial,CHEMBL1731,Small molecule,MEZLOCILLIN
Anti-Adrenergic,CHEMBL1732,Small molecule,DIHYDROERGOTAMINE
Antibacterial,CHEMBL564085,Small molecule,TROLEANDOMYCIN
Antineoplastic,CHEMBL553025,Small molecule,VINORELBINE
,CHEMBL539697,Small molecule,DABIGATRAN ETEXILATE
,CHEMBL1734,Small molecule,SOLIFENACIN
,CHEMBL551466,Small molecule,ACLIDINIUM BROMIDE
Antiviral,CHEMBL1735,Small molecule,INDINAVIR SULFATE
Antidote (to cyanide poisoning); Antimethemoglobinemic,CHEMBL550495,Small molecule,METHYLENE BLUE
Diagnostic Aid (radiopaque medium),CHEMBL1736,Small molecule,METRIZOIC ACID
Antihyperlipoproteinemic,CHEMBL557555,Small molecule,CIPROFIBRATE
Antineoplastic,CHEMBL538943,Small molecule,VINORELBINE TARTRATE
Impotence Therapy,CHEMBL1737,Small molecule,SILDENAFIL CITRATE
,CHEMBL550348,Small molecule,DEFERASIROX
Cardioprotectant,CHEMBL1738,Small molecule,DEXRAZOXANE
Neuromuscular Blocking Agent,CHEMBL1739,Small molecule,METOCURINE IODIDE
Antibacterial,CHEMBL1741,Small molecule,CLARITHROMYCIN
,CHEMBL566534,Small molecule,ARTEMETHER
,CHEMBL566315,Small molecule,OBETICHOLIC ACID
,CHEMBL566752,Small molecule,FLORBETABEN F18
,CHEMBL567597,Small molecule,ARTEMISININ
Antihyperammonemic,CHEMBL1746,Small molecule,SODIUM PHENYLBUTYRATE
,CHEMBL579205,Small molecule,FLUTEMETAMOL
Antibacterial,CHEMBL1747,Small molecule,TOBRAMYCIN
,CHEMBL569713,Small molecule,SCOPOLAMINE
,CHEMBL571546,Small molecule,TIRBANIBULIN
Pharmaceutic Aid (chelating agent); Chelating Agent (metal),CHEMBL1749,Small molecule,EDETATE DISODIUM
,CHEMBL1750,Small molecule,CLOFARABINE
Anti-Adrenergic (alpha-receptor); Bronchodilator,CHEMBL576127,Small molecule,FENSPIRIDE
Cardiotonic,CHEMBL1751,Small molecule,DIGOXIN
Bronchodilator,CHEMBL1752,Small molecule,DYPHYLLINE
Antibacterial,CHEMBL1753,Small molecule,CLINDAMYCIN
Stimulant (respiratory),CHEMBL1754,Small molecule,DOXAPRAM
,CHEMBL1755,Small molecule,CONIVAPTAN
Antineoplastic,CHEMBL1756,Small molecule,ESTRAMUSTINE PHOSPHATE
Antibacterial,CHEMBL1757,Small molecule,FOSFOMYCIN
Bronchodilator,CHEMBL1760,Small molecule,TERBUTALINE
Antiparkinsonian; Relaxant (skeletal muscle),CHEMBL1761,Small molecule,PROCYCLIDINE HYDROCHLORIDE
Cardiac Depressant (anti-arrhythmic),CHEMBL1762,Small molecule,TOCAINIDE
Antihypertensive; Diuretic,CHEMBL1763,Small molecule,HYDROFLUMETHIAZIDE
Analgesic,CHEMBL1764,Small molecule,LEVOMEPROMAZINE
Anti-Inflammatory,CHEMBL1766,Small molecule,DESOXIMETASONE
Cholinergic,CHEMBL1768,Small molecule,BETHANECHOL CHLORIDE
Anesthetic (local),CHEMBL1769,Small molecule,PROPOXYCAINE HYDROCHLORIDE
Biological Response Modifier,CHEMBL1770,Small molecule,LEVAMISOLE HYDROCHLORIDE
Vitamin (antiscorbutic),CHEMBL591665,Small molecule,SODIUM ASCORBATE
Amino Acid,CHEMBL590540,Small molecule,CYSTINE
Inhibitor (platelet),CHEMBL1771,Small molecule,CLOPIDOGREL
Antineoplastic,CHEMBL1773,Small molecule,CAPECITABINE
,CHEMBL589586,Small molecule,MONOMETHYL FUMARATE
,CHEMBL601719,Small molecule,CRIZOTINIB
,CHEMBL605846,Small molecule,OLODATEROL
Relaxant (skeletal muscle),CHEMBL607710,Small molecule,CHLORPHENESIN CARBAMATE
Antibacterial,CHEMBL606260,Small molecule,CARBENICILLIN DISODIUM
Nutrient,CHEMBL604608,Small molecule,FRUCTOSE
,CHEMBL608533,Small molecule,MIDOSTAURIN
,CHEMBL607400,Small molecule,BRIVARACETAM
Antibacterial,CHEMBL43708,Small molecule,IMIPENEM
,CHEMBL1079742,Small molecule,ERLOTINIB HYDROCHLORIDE
Relaxant (skeletal muscle),CHEMBL1079604,Small molecule,METAXALONE
Disinfectant,CHEMBL1076347,Small molecule,TRICLOCARBAN
,CHEMBL1086863,Small molecule,FLUDEOXYGLUCOSE
,CHEMBL1078261,Small molecule,PROPIVERINE
,CHEMBL1077896,Small molecule,ROPIVACAINE
Anti-Inflammatory,CHEMBL1089221,Small molecule,BENDAZAC
,CHEMBL1088977,Small molecule,ADEMETIONINE
,CHEMBL1089318,Small molecule,OPICAPONE
,CHEMBL1089641,Small molecule,TRYPAN BLUE
,CHEMBL1092067,Small molecule,FLUDEOXYGLUCOSE F 18
